symbol,timestamp,open,high,low,close,volume,amount,source_freq
601398.SH,2026-06-15 09:35:00,7.75,7.75,7.68,7.7,32359258,249275833.0,5min
601398.SH,2026-06-15 09:40:00,7.7,7.74,7.7,7.7,15046700,116179244.0,5min
601398.SH,2026-06-15 09:45:00,7.7,7.72,7.69,7.7,14278400,110018440.0,5min
601398.SH,2026-06-15 09:50:00,7.69,7.7,7.66,7.67,22408954,172126663.0,5min
601398.SH,2026-06-15 09:55:00,7.66,7.69,7.65,7.66,24482600,187590775.0,5min
601398.SH,2026-06-15 10:00:00,7.66,7.69,7.66,7.69,10874490,83426867.0,5min
601398.SH,2026-06-15 10:05:00,7.69,7.69,7.65,7.66,7400510,56775882.0,5min
601398.SH,2026-06-15 10:10:00,7.65,7.66,7.63,7.64,13510522,103251364.0,5min
601398.SH,2026-06-15 10:15:00,7.64,7.67,7.64,7.66,13258400,101497853.0,5min
601398.SH,2026-06-15 10:20:00,7.66,7.67,7.61,7.62,15979300,121996485.0,5min
601398.SH,2026-06-15 10:25:00,7.61,7.63,7.61,7.63,12205300,92971681.0,5min
601398.SH,2026-06-15 10:30:00,7.63,7.64,7.61,7.62,9565215,72890978.0,5min
601398.SH,2026-06-15 10:35:00,7.63,7.64,7.61,7.61,8459772,64498542.0,5min
601398.SH,2026-06-15 10:40:00,7.62,7.62,7.59,7.61,15261178,115977795.0,5min
601398.SH,2026-06-15 10:45:00,7.61,7.64,7.6,7.63,6044000,46044688.0,5min
601398.SH,2026-06-15 10:50:00,7.63,7.64,7.61,7.62,6697000,51009143.0,5min
601398.SH,2026-06-15 10:55:00,7.62,7.62,7.6,7.62,4122000,31369895.0,5min
601398.SH,2026-06-15 11:00:00,7.61,7.62,7.59,7.6,4564900,34712162.0,5min
601398.SH,2026-06-15 11:05:00,7.6,7.6,7.58,7.59,8455772,64150525.0,5min
601398.SH,2026-06-15 11:10:00,7.59,7.6,7.59,7.6,3441900,26148436.0,5min
601398.SH,2026-06-15 11:15:00,7.6,7.6,7.58,7.6,5057900,38394946.0,5min
601398.SH,2026-06-15 11:20:00,7.59,7.6,7.58,7.6,5239000,39767043.0,5min
601398.SH,2026-06-15 11:25:00,7.59,7.6,7.58,7.6,4392300,33330947.0,5min
601398.SH,2026-06-15 11:30:00,7.6,7.61,7.59,7.6,4041754,30703196.0,5min
601398.SH,2026-06-15 13:05:00,7.6,7.6,7.57,7.57,9375428,71105567.0,5min
601398.SH,2026-06-15 13:10:00,7.58,7.58,7.56,7.56,5422800,41026278.0,5min
601398.SH,2026-06-15 13:15:00,7.57,7.58,7.55,7.57,8347000,63151212.0,5min
601398.SH,2026-06-15 13:20:00,7.57,7.57,7.55,7.56,6289000,47539540.0,5min
601398.SH,2026-06-15 13:25:00,7.57,7.57,7.55,7.55,5408700,40883212.0,5min
601398.SH,2026-06-15 13:30:00,7.56,7.57,7.55,7.56,5829100,44050427.0,5min
601398.SH,2026-06-15 13:35:00,7.56,7.57,7.55,7.56,4435791,33534145.0,5min
601398.SH,2026-06-15 13:40:00,7.57,7.6,7.56,7.59,4560400,34546694.0,5min
601398.SH,2026-06-15 13:45:00,7.59,7.6,7.57,7.59,5211800,39532709.0,5min
601398.SH,2026-06-15 13:50:00,7.58,7.59,7.58,7.58,2906500,22039036.0,5min
601398.SH,2026-06-15 13:55:00,7.59,7.59,7.58,7.59,4837200,36685108.0,5min
601398.SH,2026-06-15 14:00:00,7.59,7.59,7.57,7.57,5816400,44078983.0,5min
601398.SH,2026-06-15 14:05:00,7.58,7.59,7.57,7.58,6459500,48928075.0,5min
601398.SH,2026-06-15 14:10:00,7.58,7.58,7.56,7.57,5143301,38939877.0,5min
601398.SH,2026-06-15 14:15:00,7.57,7.58,7.56,7.57,2696001,20398251.0,5min
601398.SH,2026-06-15 14:20:00,7.56,7.57,7.55,7.55,6789200,51330894.0,5min
601398.SH,2026-06-15 14:25:00,7.55,7.56,7.54,7.55,13843209,104495337.0,5min
601398.SH,2026-06-15 14:30:00,7.54,7.55,7.53,7.53,13528206,101999428.0,5min
601398.SH,2026-06-15 14:35:00,7.54,7.56,7.54,7.56,13758201,103831445.0,5min
601398.SH,2026-06-15 14:40:00,7.56,7.56,7.54,7.56,10875627,82065231.0,5min
601398.SH,2026-06-15 14:45:00,7.55,7.57,7.55,7.57,8294295,62697006.0,5min
601398.SH,2026-06-15 14:50:00,7.56,7.57,7.56,7.57,7704600,58274241.0,5min
601398.SH,2026-06-15 14:55:00,7.57,7.57,7.55,7.56,14548328,110010758.0,5min
601398.SH,2026-06-15 15:00:00,7.56,7.57,7.56,7.57,11478490,86858724.0,5min
601398.SH,2026-06-16 09:35:00,7.53,7.53,7.51,7.52,27224831,204733138.0,5min
601398.SH,2026-06-16 09:40:00,7.51,7.53,7.5,7.52,12872500,96746937.0,5min
601398.SH,2026-06-16 09:45:00,7.52,7.52,7.47,7.47,23150298,173388878.0,5min
601398.SH,2026-06-16 09:50:00,7.47,7.48,7.43,7.43,22869601,170404923.0,5min
601398.SH,2026-06-16 09:55:00,7.43,7.43,7.4,7.43,20070885,148886390.0,5min
601398.SH,2026-06-16 10:00:00,7.43,7.44,7.41,7.44,10443215,77515921.0,5min
601398.SH,2026-06-16 10:05:00,7.44,7.48,7.44,7.48,9852900,73492307.0,5min
601398.SH,2026-06-16 10:10:00,7.48,7.5,7.47,7.47,10676500,79908338.0,5min
601398.SH,2026-06-16 10:15:00,7.47,7.48,7.46,7.47,5158910,38517872.0,5min
601398.SH,2026-06-16 10:20:00,7.46,7.47,7.43,7.44,9414290,70130444.0,5min
601398.SH,2026-06-16 10:25:00,7.44,7.45,7.43,7.44,3798951,28257690.0,5min
601398.SH,2026-06-16 10:30:00,7.44,7.45,7.44,7.44,5195700,38696883.0,5min
601398.SH,2026-06-16 10:35:00,7.45,7.46,7.44,7.46,3878200,28902151.0,5min
601398.SH,2026-06-16 10:40:00,7.46,7.46,7.43,7.43,5969000,44402773.0,5min
601398.SH,2026-06-16 10:45:00,7.43,7.44,7.42,7.44,5193600,38600214.0,5min
601398.SH,2026-06-16 10:50:00,7.44,7.44,7.42,7.42,4302400,31966287.0,5min
601398.SH,2026-06-16 10:55:00,7.42,7.45,7.42,7.45,8931000,66406323.0,5min
