symbol,name,industry,is_cycle_stock,notes,total_mv,circ_mv,amount,list_date,list_days,asof_date,universe_method,bias_notes
002636.SZ,金安国纪,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,8225700.000000001,8184000.0,3844332.6319999998,20111125,5326,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601916.SH,浙商银行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,8211900.000000001,6441799.999999999,393139.89200000005,20191126,2403,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000807.SZ,云铝股份,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,8180900.0,8180800.0,2485874.418,19980408,10305,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688187.SH,时代电气,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,8146900.000000001,5252500.0,983618.118,20210907,1752,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000938.SZ,紫光股份,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,8119800.0,8119700.0,5366366.376999999,19991104,9730,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
603893.SH,瑞芯微,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7971400.0,7969800.0,2895028.195,20200207,2330,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688110.SH,东芯股份,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7938500.0,7938500.0,6099451.458000001,20211210,1658,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300390.SZ,天华新能,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7890500.0,6385200.0,6523551.748000001,20140731,4347,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000895.SZ,双汇发展,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7854400.000000001,7853400.0,328223.618,19981210,10059,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601208.SH,东材科技,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7837000.0,7837000.0,6870046.825,20110520,5515,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601825.SH,沪农商行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7802400.0,7583900.0,235336.226,20210819,1771,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300498.SZ,温氏股份,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7798400.0,6970800.0,541758.8910000001,20151102,3888,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688048.SH,长光华芯,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7788000.0,7788000.0,6504598.678,20220401,1546,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
